START,Time,,Upstream Pressure,,Downstream Pressure
DATA,,,,,
DATA,0,PT_EU,1.711,PT_ED,6.598
DATA,0.01,PT_EU,1.711,PT_ED,7.82
DATA,0.01,PT_EU,0.489,PT_ED,5.376
DATA,0.02,PT_EU,-5.621,PT_ED,-1.955
DATA,0.02,PT_EU,1.711,PT_ED,2.933
DATA,0.03,PT_EU,-11.73,PT_ED,2.933
DATA,0.03,PT_EU,1.711,PT_ED,0.489
DATA,0.04,PT_EU,-11.73,PT_ED,-0.733
DATA,0.05,PT_EU,-6.843,PT_ED,6.598
DATA,0.05,PT_EU,-3.177,PT_ED,4.154
DATA,0.06,PT_EU,0.489,PT_ED,5.376
DATA,0.06,PT_EU,-8.065,PT_ED,6.598
DATA,0.07,PT_EU,-9.286,PT_ED,4.154
DATA,0.08,PT_EU,-10.508,PT_ED,5.376
DATA,0.08,PT_EU,-1.955,PT_ED,6.598
DATA,0.09,PT_EU,-0.733,PT_ED,6.598
DATA,0.09,PT_EU,-3.177,PT_ED,6.598
DATA,0.1,PT_EU,-3.177,PT_ED,6.598
DATA,0.11,PT_EU,-4.399,PT_ED,5.376
DATA,0.11,PT_EU,-1.955,PT_ED,5.376
DATA,0.12,PT_EU,2.933,PT_ED,5.376
DATA,0.12,PT_EU,2.933,PT_ED,0.489
DATA,0.13,PT_EU,-10.508,PT_ED,5.376
DATA,0.14,PT_EU,-11.73,PT_ED,4.154
DATA,0.14,PT_EU,1.711,PT_ED,4.154
DATA,0.15,PT_EU,-12.952,PT_ED,6.598
DATA,0.15,PT_EU,1.711,PT_ED,5.376
DATA,0.16,PT_EU,-10.508,PT_ED,4.154
DATA,0.17,PT_EU,2.933,PT_ED,5.376
DATA,0.17,PT_EU,-11.73,PT_ED,5.376
DATA,0.18,PT_EU,-11.73,PT_ED,5.376
DATA,0.19,PT_EU,2.933,PT_ED,5.376
DATA,0.19,PT_EU,-5.621,PT_ED,-0.733
DATA,0.2,PT_EU,-5.621,PT_ED,1.711
DATA,0.2,PT_EU,-38.612,PT_ED,-17.84
DATA,0.21,PT_EU,-30.059,PT_ED,-20.283
DATA,0.22,PT_EU,-12.952,PT_ED,-26.393
DATA,0.22,PT_EU,-30.059,PT_ED,-14.174
DATA,0.23,PT_EU,-5.621,PT_ED,-19.062
DATA,0.24,PT_EU,-33.724,PT_ED,-3.177
DATA,0.24,PT_EU,-27.615,PT_ED,-20.283
DATA,0.25,PT_EU,-10.508,PT_ED,-25.171
DATA,0.26,PT_EU,2.933,PT_ED,-9.286
DATA,0.26,PT_EU,-28.837,PT_ED,-20.283
DATA,0.27,PT_EU,-33.724,PT_ED,-1.955
DATA,0.28,PT_EU,-21.505,PT_ED,1.711
DATA,0.28,PT_EU,1.711,PT_ED,5.376
DATA,0.29,PT_EU,1.711,PT_ED,4.154
DATA,0.29,PT_EU,0.489,PT_ED,5.376
DATA,0.3,PT_EU,-4.399,PT_ED,6.598
DATA,0.31,PT_EU,-3.177,PT_ED,2.933
DATA,0.31,PT_EU,2.933,PT_ED,6.598
DATA,0.32,PT_EU,-8.065,PT_ED,5.376
DATA,0.32,PT_EU,-5.621,PT_ED,4.154
DATA,0.33,PT_EU,-3.177,PT_ED,5.376
DATA,0.34,PT_EU,-11.73,PT_ED,4.154
DATA,0.34,PT_EU,-12.952,PT_ED,5.376
DATA,0.35,PT_EU,-5.621,PT_ED,4.154
DATA,0.35,PT_EU,-9.286,PT_ED,-1.955
DATA,0.36,PT_EU,-8.065,PT_ED,4.154
DATA,0.37,PT_EU,-5.621,PT_ED,4.154
DATA,0.37,PT_EU,-11.73,PT_ED,4.154
DATA,0.38,PT_EU,2.933,PT_ED,5.376
DATA,0.39,PT_EU,-11.73,PT_ED,4.154
DATA,0.39,PT_EU,1.711,PT_ED,5.376
DATA,0.4,PT_EU,-8.065,PT_ED,5.376
DATA,0.4,PT_EU,-8.065,PT_ED,5.376
DATA,0.41,PT_EU,-10.508,PT_ED,-4.399
DATA,0.42,PT_EU,-8.065,PT_ED,4.154
DATA,0.42,PT_EU,0.489,PT_ED,2.933
DATA,0.43,PT_EU,0.489,PT_ED,5.376
DATA,0.44,PT_EU,-9.286,PT_ED,4.154
DATA,0.44,PT_EU,-5.621,PT_ED,6.598
DATA,0.45,PT_EU,-9.286,PT_ED,6.598
DATA,0.45,PT_EU,-5.621,PT_ED,5.376
DATA,0.46,PT_EU,-4.399,PT_ED,-1.955
DATA,0.47,PT_EU,-0.733,PT_ED,4.154
DATA,0.47,PT_EU,-30.059,PT_ED,-20.283
DATA,0.48,PT_EU,-31.281,PT_ED,-5.621
DATA,0.49,PT_EU,1.711,PT_ED,-11.73
DATA,0.49,PT_EU,-30.059,PT_ED,-21.505
DATA,0.5,PT_EU,-8.065,PT_ED,-4.399
DATA,0.5,PT_EU,-25.171,PT_ED,-15.396
DATA,0.51,PT_EU,-27.615,PT_ED,-5.621
DATA,0.52,PT_EU,-39.834,PT_ED,-1.955
DATA,0.52,PT_EU,-26.393,PT_ED,-26.393
DATA,0.53,PT_EU,-3.177,PT_ED,-17.84
DATA,0.54,PT_EU,-28.837,PT_ED,-20.283
DATA,0.54,PT_EU,-0.733,PT_ED,5.376
DATA,0.55,PT_EU,-11.73,PT_ED,5.376
DATA,0.56,PT_EU,-6.843,PT_ED,4.154
DATA,0.56,PT_EU,0.489,PT_ED,4.154
DATA,0.57,PT_EU,-0.733,PT_ED,6.598
DATA,0.57,PT_EU,1.711,PT_ED,2.933
DATA,0.58,PT_EU,-0.733,PT_ED,5.376
DATA,0.59,PT_EU,1.711,PT_ED,1.711
DATA,0.59,PT_EU,-10.508,PT_ED,4.154
DATA,0.6,PT_EU,1.711,PT_ED,-3.177
DATA,0.6,PT_EU,-3.177,PT_ED,5.376
DATA,0.61,PT_EU,-1.955,PT_ED,5.376
DATA,0.62,PT_EU,2.933,PT_ED,-1.955
DATA,0.62,PT_EU,-1.955,PT_ED,5.376
DATA,0.63,PT_EU,-0.733,PT_ED,5.376
DATA,0.63,PT_EU,1.711,PT_ED,0.489
DATA,0.64,PT_EU,2.933,PT_ED,5.376
DATA,0.65,PT_EU,-10.508,PT_ED,-0.733
DATA,0.65,PT_EU,2.933,PT_ED,-4.399
DATA,0.66,PT_EU,1.711,PT_ED,1.711
DATA,0.67,PT_EU,1.711,PT_ED,6.598
DATA,0.67,PT_EU,2.933,PT_ED,5.376
DATA,0.68,PT_EU,1.711,PT_ED,-1.955
DATA,0.68,PT_EU,1.711,PT_ED,1.711
DATA,0.69,PT_EU,-10.508,PT_ED,5.376
DATA,0.7,PT_EU,0.489,PT_ED,4.154
DATA,0.7,PT_EU,2.933,PT_ED,4.154
DATA,0.71,PT_EU,-1.955,PT_ED,2.933
DATA,0.71,PT_EU,2.933,PT_ED,5.376
DATA,0.72,PT_EU,2.933,PT_ED,-0.733
DATA,0.73,PT_EU,-20.283,PT_ED,-19.062
DATA,0.73,PT_EU,-27.615,PT_ED,-1.955
DATA,0.74,PT_EU,-32.502,PT_ED,4.154
DATA,0.75,PT_EU,-5.621,PT_ED,2.933
DATA,0.75,PT_EU,-15.396,PT_ED,-21.505
DATA,0.76,PT_EU,6.598,PT_ED,-20.283
DATA,0.76,PT_EU,-4.399,PT_ED,-8.065
DATA,0.77,PT_EU,-22.727,PT_ED,-5.621
